from_ba_id,from_ba_name,from_gf_id,from_gf_name,to_ba_id,to_ba_name,to_gf_id,to_gf_name
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,cf2deca6-53b8-4096-916f-32c2c71d14bf,Branching,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,cbff6080-6387-44e5-b7ad-35f35f3db3a7,Columnar,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,1dd23b35-32d7-489f-bee1-3985e17c113f,Corymbose,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,eb67cf91-533d-465c-bace-c7c6d3901516,Digitate,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Encrusting,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,e149db12-9398-4a10-8642-5db70d1a8505,Foliose,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,888609b5-b58a-4d57-addc-a6935bba284b,Massive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,7a3be72b-a96e-4434-9c42-a817fe3fc765,Mushroom coral,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,6b2aabb4-d16f-445e-933f-16341030fdba,Plates or tables,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
71f6a8dc-c675-4052-b188-1fe9d93c05f4,Acanthastrea hemprichii,66f2cd86-a949-414e-96ac-5ea1fb702c5c,Submassive,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,,,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,7e71833a-fc29-4176-91cb-1df6723089ed,Arborescent,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,cf2deca6-53b8-4096-916f-32c2c71d14bf,Branching,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,cbff6080-6387-44e5-b7ad-35f35f3db3a7,Columnar,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,1dd23b35-32d7-489f-bee1-3985e17c113f,Corymbose,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,eb67cf91-533d-465c-bace-c7c6d3901516,Digitate,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Encrusting,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,e149db12-9398-4a10-8642-5db70d1a8505,Foliose,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,888609b5-b58a-4d57-addc-a6935bba284b,Massive,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,7a3be72b-a96e-4434-9c42-a817fe3fc765,Mushroom coral,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,6b2aabb4-d16f-445e-933f-16341030fdba,Plates or tables,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
08497e2e-570d-4394-9e97-c9bbdf0f7165,Acanthophora,66f2cd86-a949-414e-96ac-5ea1fb702c5c,Submassive,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
0600d70e-e956-467e-b0c3-6d5c745f46f6,Acanthophora spicifera,,,09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae,,
